Japanese Input,Japanese,Type,Image,Audio,Vietnamese,Korean,Chinese_Simplified,Chinese_Traditional,English,Spanish_LA,Spanish_SP,Word_1,Word_2,Word_3,Word_4,Word_Example_1,Word_Example_2,Word_Example_3,Word_Example_4,Word_Example_1_Audio,Word_Example_2_Audio,Word_Example_3_Audio,Word_Example_4_Audio
なんだ<br>こわがりだな 千尋(ちひろ)は,なんだ<br>怖[こわ]がりだな 千尋[ちひろ]は,なんだ怖がりだな千尋は,"<img src=""Spirited_Away_-_ja_-_Jap_237987.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_237987.mp3],"Gì chứ? Con nhát thế, Chihiro.",겁쟁이 같으니,怎[zěn]么[me]了[le]？[？]千[qiān]寻[xún]真[zhēn]胆[dǎn]小[xiǎo],幹[gàn]嘛[ma]啊[a]，[，]千[qiān]尋[xún]真[zhēn]膽[dǎn]小[xiǎo],No need to be scared.,No hay por qué tener miedo.,"No tengas miedo, Chihiro.",こわがり： 怖[こわ]がりやすい 性格[せいかく],,~だな： 感情[かんじょう]や 気[き]づきを 表[あらわ]す,,子供[こども]はこわがりだ。,,きれいだな。,,[sound:hypertts-458b0695ac15fdd472ae01ff195f61ea55693fe9cccfb572b5159634.mp3],,[sound:hypertts-f7865543ec0fd7e1b1b65104db1b7bda1e39f0a175c5f1bce061e457.mp3],
（お母さん）それはそうだけど,（お 母[かあ]さん）それはそうだけど,それはそうだけど,"<img src=""Spirited_Away_-_ja_-_Jap_248414.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_248075.mp3],"Thì cũng đúng, mà...",열쇠도 맡겨 뒀겠다<br>알아서 잘해 주잖아,他[tā]们[men]会[huì]帮[bāng]我[wǒ]们[men]全[quán]部[bù]弄[nòng]好[hǎo],他[tā]們[men]會[huì]幫[bāng]我[wǒ]們[men]全[quán]部[bù]弄[nòng]好[hǎo],"I know, but...","No importa, tienen las llaves.<br>Que ellos se encarguen de la mudanza.","No importa, tienen llaves.<br>Que hagan ellos la mudanza.",そうだけど： 前[まえ]を 認[みと]めつつ 逆接[ぎゃくせつ],,~けど： 逆接[ぎゃくせつ] 表現[ひょうげん],,行[い]きたい、そうだけど 忙[いそが]しい。,,雨[あめ]だけど 出[で]かける。,,[sound:hypertts-0e77f823a2b9e1367d804a87a0f9ed20b83e8ab9489808dcbcc70630.mp3],,[sound:hypertts-a5435393ac4aa00d26ec3a188c788bac2f7fac76e21ca001937bf6a1.mp3],
おいで 平気だよ,おいで 平気[へいき]だよ,おいで平気だよ,"<img src=""Spirited_Away_-_ja_-_Jap_255755.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_255421.mp3],"Lại đây nào, có sao đâu.","이리 와, 괜찮다니까!",过[guò]来[lái] 不[bú]要[yào]紧[jǐn],過[guò]來[lái]啦[la]，[，]不[bú]要[yào]緊[jǐn],Nothing to be scared of.,No tienes por qué tener miedo.,"Ven, no tengas miedo.",平気[へいき]： 心配[しんぱい]なく 落ち着[おちつ]いている 状態[じょうたい],,~だよ： 断定[だんてい]・ 強調[きょうちょう],,彼[かれ]は 試験[しけん]にも 平気[へいき]な 顔[かお]をしている。,,大丈夫[だいじょうぶ]だよ。,,[sound:hypertts-3b1cf0ea1d944ccf24a570905c80ae48099607b1b75fbef667828a31.mp3],,[sound:hypertts-9781605142eacae1560ef056e6c53908dbdf65f62a052660ccf6f134.mp3],
足もと気をつけな,足[あし]もと 気[き]をつけな,足もと気をつけな,"<img src=""Spirited_Away_-_ja_-_Jap_282532.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_282407.mp3],Đi cẩn thận nhé.,발밑 조심해,小[xiǎo]心[xīn]走[zǒu],小[xiǎo]心[xīn]走[zǒu],Watch your step.,Miren por dónde caminan.,Id con cuidado.,足[あし]もと： 自分[じぶん]の 足[あし]の 周[まわ]り,,~な（ 命令形[めいれいけい]）： 禁止[きんし]・ 注意[ちゅうい],,足[あし]もとに 注意[ちゅうい]してください。,,遅[おく]れるな。,,[sound:hypertts-5ac2eb6e1f3445a593f28281ddb8fdee27b951164b2cc4611db33d1a.mp3],,[sound:hypertts-5b0012c3c6c3b12b4639a39a5c1e365fa1609a5f88ef2a140501acac.mp3],
案外(あんがい) 駅が近いのかもしれないね,案外[あんがい] 駅[えき]が 近[ちか]いのかもしれないね,案外駅が近いのかもしれないね,"<img src=""Spirited_Away_-_ja_-_Jap_332874.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_332622.mp3],Có lẽ nơi này gần ga tàu hơn mình nghĩ đó.,생각보다 역이 가깝나 봐,是[shì]电[diàn]车[chē]的[de]声[shēng]音[yīn]<[<br>]b[shuō]r[bù]>[dìng]说[lí]不[chē]定[zhàn]离[hěn]车[jìn],電[diàn]車[chē]的[de]聲[shēng]音[yīn]<[<br>]b[shuō]r[bù]>[dìng]說[lí]不[chē]定[zhàn]離[hěn]車[jìn],Maybe we're near the station.,Quizá estamos cerca de la estación.,- Es un tren.<br>- Quizá estemos cerca de la estación.,案外[あんがい]： 思[おも]ったよりも 意外[いがい]に,,~かもしれない： 不確[ふたし]かな 推量[すいりょう],~ね： 共感[きょうかん]や 確認[かくにん],案外[あんがい] 早[はや]く 終[お]わった。,,明日[あした] 雨[あめ]かもしれない。,いい 天気[てんき]だね。,[sound:hypertts-298a2f724663046bb04bd7e97c5b31f10865d1ae6d1875b741d88d30.mp3],,[sound:hypertts-83652d53161fcafc2948aacc2f801e148a5868e68dfb223b6b245ac7.mp3],[sound:hypertts-74ffca1876b1121b353c8c89d06aca2a4f37f9f11342a1263c1ca13b.mp3]
テーマパークの残(ざん)がいだよ これ,テーマパークの 残[ざん]がいだよこれ,テーマパークの残がいだよこれ,"<img src=""Spirited_Away_-_ja_-_Jap_377627.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_377627.mp3],Đây là tàn tích của công viên giải trí đó.,이건 테마파크 잔해야,果[guǒ]然[rán]没[méi]错[cuò] 这[zhè]是[shì]主[zhǔ]题[tí]公[gōng]园[yuán]的[de]遗[yí]址[zhǐ],果[guǒ]然[rán]沒[méi]錯[cuò]，[，]這[zhè]是[shì]主[zhǔ]題[tí]公[gōng]園[yuán]的[de]遺[yí]跡[jī],This must be an abandoned theme park.,Debe ser un parque temático abandonado.,Es un parque temático abandonado.,残[ざん]がい： 壊[こわ]れたあとに 残[のこ]るもの,,~だよ： 断定[だんてい]・ 強調[きょうちょう],,戦争[せんそう]の 残[ざん]がい。,,本当[ほんとう]だよ。,,[sound:hypertts-b7d4f564c9cab167622e89f0a13b48fa2eeec5a1339944287e3ffc89.mp3],,[sound:hypertts-00c9b41d462e1e506cf89bb6c76f8263e578f69709e1839cc4850375.mp3],
90年ごろに あっちこっちで<br>たくさん計画されてさ,90 年[ねん]ごろにあっちこっちで<br>たくさん 計画[けいかく]されてさ,90年ごろにあっちこっちでたくさん計画されてさ,"<img src=""Spirited_Away_-_ja_-_Jap_382173.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_381731.mp3],"Tầm năm 90, họ lên kế hoạch xây<br>mấy khu như vậy ở khắp nơi.",90년대 초에<br>우후죽순으로 생기더니,9[90]0[nián]年[dài]代[dào]到[chù]处[dōu]都[zài]在[kāi]开[fā],9[90]0[nián]年[dài]代[dào]到[chù]處[dōu]都[zài]在[kāi]開[fā],"They built so many in the early '90s,","A principios de los 90,<br>construyeron muchos,","Construyeron muchos en los 90,",計画[けいかく]： 実行[じっこう]のための 予定[よてい],,受け身[うけみ]（される）： 動作[どうさ]を 受[う]ける,~てさ：くだけた 接続[せつぞく],夏休[なつやす]みの 計画[けいかく]を 立[た]てる。,,木[き]が 倒[たお]された。,遅[おく]れてさ、 困[こま]ったんだ。,[sound:hypertts-d802c532ec6799d040fd6361688b5b54567e92fd03e18331eefc9131.mp3],,[sound:hypertts-3e70c41b1cb5a73abbde716dd07d0294fe0c7bf1b5d712d27195bfb4.mp3],[sound:hypertts-ac0c406cad4c1ee20921f019269237e360d3e41f0a59ed01424c6e22.mp3]
お母さん あの建物(たてもの)うなってるよ,お 母[かあ]さんあの 建物[たてもの]うなってるよ,お母さんあの建物うなってるよ,"<img src=""Spirited_Away_-_ja_-_Jap_410034.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_409670.mp3],"Mẹ ơi, tòa nhà đó đang rên rỉ kìa.",저 건물이 소리를 내,妈[mā]妈[mā] 那[nà]间[jiān]房[fáng]子[zi]在[zài]叫[jiào],媽[mā]媽[mā]，[，]那[nà]間[jiān]房[fáng]子[zi]在[zài]叫[jiào]耶[yé],"Mommy, that building's moaning.","Mami, ese edificio está gimiendo.","Mamá, ese edificio está gimiendo.",うなる： 動物[どうぶつ]や 機械[きかい]が 低[ひく]い 音[おと]を 出[だ]す,,~ている： 進行[しんこう]・ 状態[じょうたい],~よ： 強調[きょうちょう]・ 知[し]らせ,犬[いぬ]がうなっている。,,人[ひと]が 集[あつ]まっている。,きれいだよ。,[sound:hypertts-84997b09fd7000290feb09223bb14ae3a89b6ffa5eade944a33ed364.mp3],,[sound:hypertts-e1807e16012ff1f9bd71e29393bcf5fe7bc555f9145c456dcb4f8f9e.mp3],[sound:hypertts-acd01fcf9a34ec158a42250067c68935140f31aee55062a4a952829c.mp3]
風鳴りでしょ,風[かぜ] 鳴[な]りでしょ,風鳴りでしょ,"<img src=""Spirited_Away_-_ja_-_Jap_413162.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_413018.mp3],Là tiếng gió thôi.,바람 소리일 거야,是[shì]风[fēng]声[shēng]吧[ba],是[shì]風[fēng]聲[shēng]吧[ba],It's just the wind.,"Mami, ese edificio está gimiendo.<br>Solo es el viento.",Es el viento.,風[かぜ] 鳴[な]り： 風[かぜ]が 当[あ]たって 生[しょう]じる 音[おと],,~でしょ： 確認[かくにん]・ 推量[すいりょう],,窓[まど]のすき 間[ま]から 風[かぜ] 鳴[な]りがした。,,彼[かれ]も 来[く]るでしょ。,,[sound:hypertts-c3ceb52c25300b870b6f69cdd078811db112360a8db918d0b660e5b7.mp3],,[sound:hypertts-a8576878f3ea64341c346ba9d9039592d1d7e037537fd1a818cfd898.mp3],
あきれた<br>これ全部食べもの屋よ,呆[あき]れた<br>これ 全部[ぜんぶ] 食[た]べもの 屋[や]よ,呆れたこれ全部食べもの屋よ,"<img src=""Spirited_Away_-_ja_-_Jap_480771.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_480771.mp3],Lạ thật đấy.<br>Toàn bộ nơi này đều là quán ăn.,세상에! 전부 다 음식점이야,真[zhēn]是[shì]不[bù]可[kě]思[sī]议[yì] 全[quán]部[bù]都[dōu]是[shì]小[xiǎo]吃[chī]店[diàn],真[zhēn]令[lìng]人[rén]訝[yà]異[yì]，[，]全[quán]部[bù]都[dōu]是[shì]小[xiǎo]吃[chī]店[diàn],"Can you believe it,<br>they're all restaurants.",¿Puedes creerlo? Son todos restaurantes.,"Increíble, son todos restaurantes.",あきれる： 驚[おどろ]きあきれる、 感心[かんしん]しない,,~よ： 強調[きょうちょう]・ 知[し]らせ,,彼[かれ]の 無責任[むせきにん]さにあきれた。,,雨[あめ]だよ。,,[sound:hypertts-04e0d6b49b38757387e2b1fa2e701093d5c4d6a8de4ed26a880a1b0d.mp3],,[sound:hypertts-fdb6b90a7dfefcff879a58aba58d971c13aa900aa154f3d542d2b075.mp3],
いいわよ そのうち来たら<br>お金を払(はら)えばいいんだから,いいわよそのうち 来[き]たら<br>お 金[かね]を 払[はら]えばいいんだから,いいわよそのうち来たらお金を払えばいいんだから,"<img src=""Spirited_Away_-_ja_-_Jap_526317.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_525880.mp3],"Không sao, chỉ cần trả tiền<br>khi chủ tiệm về là được mà.",누가 오면<br>그때 돈을 내지 뭐!,没[méi]关[guān]系[xì] 等[děng]一[yí]下[xià]有[yǒu]人[rén]来[lái]再[zài]付[fù]钱[qián]就[jiù]行[xíng]了[le],沒[méi]關[guān]係[xì]啦[la]<[<br>]b[děng]r[yí]>[xià]等[yǒu]一[rén]下[lái]有[zài]人[fù]來[qián]再[jiù]付[hǎo]錢[le],"Oh, don't worry.<br>We can pay them when they get back.",No te preocupes. Pagaremos cuando vengan.,"No te preocupes, pagaremos cuando vuelvan.",払[はら]う： 金[きん]や 物[もの]を 渡[わた]す,,~ばいい： 助言[じょげん]・ 提案[ていあん],~んだから： 理由[りゆう]・ 当然[とうぜん] 性[せい]を 強調[きょうちょう],レジでお 金[かね]を 払[はら]う。,,疲[つか]れたら 休[やす]めばいい。,子供[こども]なんだから 仕方[しかた]ない。,[sound:hypertts-4e3de02fc08c3dca00109392e03dc2f22ea1e9e01689fe4de8397568.mp3],,[sound:hypertts-e0b945c72fbb17d5415854c0930c92363ed7e9aa7d4c522942f256d1.mp3],[sound:hypertts-7bbbb126bf34a4db93a91d8f2a010251ee29ebc3182177109dfa7df8.mp3]
これ何ていう鳥かしら,これ 何[なに]ていう 鳥[とり]かしら,これ何ていう鳥かしら,"<img src=""Spirited_Away_-_ja_-_Jap_532615.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_532615.mp3],Không biết đây là loại gia cầm nào?,이건 무슨 새지?,这[zhè]是[shì]什[shén]么[me]鸡[jī]肉[ròu]呢[ne]？[？],這[zhè]是[shì]什[shén]麼[me]雞[jī]肉[ròu]呢[ne]？[？],I wonder what this is called.,Me pregunto cómo se llama esto...,¿Cómo se llamará esta ave?,かしら： 女性的[じょせいてき] 表現[ひょうげん]で「かな」,,~ていう： 名称[めいしょう]や 表現[ひょうげん],~かしら： 不確[ふたし]かな 推量[すいりょう]（ 女性的[じょせいてき]）,明日[あした] 晴[は]れるかしら。,,これは 何[なに]ていう 本[ほん]？,行[い]けるかしら。,[sound:hypertts-77e3e4ca0780ccc1e6f7a7e025b15d780d218b350da97339a5e0d3fa.mp3],,[sound:hypertts-7730ecf5a1ac287d18bdad2b02cf47c6fd9ba563aa48343b94f56bc7.mp3],[sound:hypertts-65a030580f692960fb909c0cd7ff995731338b34ca164e909980d9dd.mp3]
